s_m,x_m,y_m,curvature_1_m,track_width_m,is_closed
0,-0.3,0,0,4.9,0
0.3,0,0,0,4.9,0
1.3,1,0,0,4.9,0
2.3,2,0,0,4.9,0
3.3,3,0,0,4.9,0
4.3,4,0,0,4.9,0
5.3,5,0,0,4.9,0
6.3,6,0,0,4.9,0
7.3,7,0,0,4.9,0
8.3,8,0,0,4.9,0
9.3,9,0,0,4.9,0
10.3,10,0,0,4.9,0
11.3,11,0,0,4.9,0
12.3,12,0,0,4.9,0
13.3,13,0,0,4.9,0
14.3,14,0,0,4.9,0
15.3,15,0,0,4.9,0
16.3,16,0,0,4.9,0
17.3,17,0,0,4.9,0
18.3,18,0,0,4.9,0
19.3,19,0,0,4.9,0
20.3,20,0,0,4.9,0
21.3,21,0,0,4.9,0
22.3,22,0,0,4.9,0
23.3,23,0,0,4.9,0
24.3,24,0,0,4.9,0
25.3,25,0,0,4.9,0
26.3,26,0,0,4.9,0
27.3,27,0,0,4.9,0
28.3,28,0,0,4.9,0
29.3,29,0,0,4.9,0
30.3,30,0,0,4.9,0
31.3,31,0,0,4.9,0
32.3,32,0,0,4.9,0
33.3,33,0,0,4.9,0
34.3,34,0,0,4.9,0
35.3,35,0,0,4.9,0
36.3,36,0,0,4.9,0
37.3,37,0,0,4.9,0
38.3,38,0,0,4.9,0
39.3,39,0,0,4.9,0
40.3,40,0,0,4.9,0
41.3,41,0,0,4.9,0
42.3,42,0,0,4.9,0
43.3,43,0,0,4.9,0
44.3,44,0,0,4.9,0
45.3,45,0,0,4.9,0
46.3,46,0,0,4.9,0
47.3,47,0,0,4.9,0
48.3,48,0,0,4.9,0
49.3,49,0,0,4.9,0
50.3,50,0,0,4.9,0
51.3,51,0,0,4.9,0
52.3,52,0,0,4.9,0
53.3,53,0,0,4.9,0
54.3,54,0,0,4.9,0
55.3,55,0,0,4.9,0
56.3,56,0,0,4.9,0
57.3,57,0,0,4.9,0
58.3,58,0,0,4.9,0
59.3,59,0,0,4.9,0
60.3,60,0,0,4.9,0
61.3,61,0,0,4.9,0
62.3,62,0,0,4.9,0
63.3,63,0,0,4.9,0
64.3,64,0,0,4.9,0
65.3,65,0,0,4.9,0
66.3,66,0,0,4.9,0
67.3,67,0,0,4.9,0
68.3,68,0,0,4.9,0
69.3,69,0,0,4.9,0
70.3,70,0,0,4.9,0
71.3,71,0,0,4.9,0
72.3,72,0,0,4.9,0
73.3,73,0,0,4.9,0
74.3,74,0,0,4.9,0
75.3,75,0,0,4.9,0
