s_m,x_m,y_m,curvature_1_m,track_width_m
0.0,10.94550875822085,66.72144403632737,-0.000132975993732634,12.0
2.0,8.940670740347326,66.74254423403679,-0.00019483787935083057,12.0
4.0,6.937901128726004,66.76440472081545,-0.00025691600030096584,12.0
6.0,4.936941370320647,66.78727475354675,-0.0003191383047796103,12.0
8.0,2.9375329120950138,66.81140358911414,-0.0003814318865841844,12.0
10.0,0.9394172010128631,66.83704048440097,-0.0004437231279506314,12.0
12.0,-1.057664315962043,66.86443469629063,-0.0005059378466735988,12.0
14.0,-3.053970191865948,66.89383548166654,-0.000568001447266421,12.0
16.0,-5.049758979735091,66.92549209741208,-0.0006298390758905487,12.0
18.0,-7.045289232605711,66.95965380041065,-0.0006913757787543222,12.0
20.0,-9.040819503514049,66.99656984754566,-0.0007525366636493651,12.0
22.0,-11.036608345496346,67.03648949570048,-0.0008132470642596047,12.0
24.0,-13.032914311588838,67.0796620017585,-0.0008734327068433244,12.0
26.0,-15.029995954827774,67.12633662260316,-0.0009330198788530965,12.0
28.0,-17.028111828249386,67.17676261511784,-0.0009919355990223335,12.0
30.0,-19.02752048488992,67.23118923618591,-0.0010501077884110014,12.0
32.0,-21.028480477785614,67.2898657426908,-0.0011074654418672825,12.0
34.0,-23.03125035997271,67.35304139151586,-0.0011639387993271834,12.0
36.0,-25.036088684487442,67.42096543954452,-0.0012194595163408498,12.0
38.0,-27.043254004366055,67.49388714366019,-0.001273960833183286,12.0
40.0,-29.052914614756492,67.57234120130855,-0.0023053325551890065,12.0
42.0,-31.064169833562904,67.66024295035714,-0.003836357272396164,12.0
44.0,-33.07541983063861,67.76371878431127,-0.005373853503705164,12.0
46.0,-35.085052689709435,67.88893331905318,-0.006924248687537803,12.0
48.0,-37.09145649450117,68.04205117046513,-0.008491716529942538,12.0
50.0,-39.09301932873966,68.22923695442935,-0.01007746624156311,12.0
52.0,-41.088129276150696,68.4566552868281,-0.011678948573627501,12.0
54.0,-43.07517442046011,68.73047078354361,-0.013289006551315733,12.0
56.0,-45.05254284539371,69.05684806045818,-0.014895036978513564,12.0
58.0,-47.01862263467731,69.44195173345405,-0.016478276638666182,12.0
60.0,-48.97180187203673,69.89194641841343,-0.018013379547903188,12.0
62.0,-50.91046864119778,70.41299673121858,-0.01946849680243839,12.0
64.0,-52.833011025886286,71.01126728775179,-0.020806088795374156,12.0
